COUNTRY,DATE,PIGT,NETD,SC,Within_SP,Total_Trade,EU_Distance,estimate_cc,estimate_ge,estimate_pv,estimate_rl,estimate_rq,estimate_va
Croatia,2014,95.1801108,1542.33,0.00023099463208738633,-0.0008277558772718657,38.234880000000004,-0.6052586174450276,0.2008352130651474,0.6763349175453186,0.6191123723983765,0.2182241678237915,0.27657535672187805,0.514897346496582
Croatia,2015,90.7163455,1561.74,8.119976953383908e-05,0.00018090020814291296,41.668859999999995,-0.6066159763726962,0.1999063640832901,0.457353413105011,0.5865136384963989,0.12741246819496155,0.2375626415014267,0.5554778575897217
Croatia,2016,91.8326797,1565.52,0.00028783695158816084,0.0006702295686358377,43.8263,-0.5994218085278323,0.1556660681962967,0.4223082661628723,0.6541911363601685,0.33985698223114014,0.23864738643169403,0.5254777073860168
Croatia,2017,94.3093054,1603.87,0.00015396616370466846,0.0007020338398348001,48.35352,-0.5931795786649605,0.05962463468313217,0.5354917049407959,0.6819056868553162,0.30892258882522583,0.2994459867477417,0.4792647957801819
Croatia,2018,97.2650112,1645.35,-4.007800664717579e-05,0.0008835981434772008,51.730109999999996,-0.5826204929193366,0.04676992446184158,0.5139327645301819,0.7936782836914062,0.3015296459197998,0.48981836438179016,0.44617515802383423
Croatia,2019,99.4064414,1627.22,-4.7797835977507674e-05,0.0008474172332773172,55.66509,-0.5646112424232077,0.05244769901037216,0.4567853510379791,0.6855106949806213,0.3482685387134552,0.5525176525115967,0.45417311787605286
Croatia,2020,100.0,1611.03,-9.951746083644218e-05,-0.0012108710717751063,45.43564,-0.5780357054872141,0.177110493183136,0.4247758090496063,0.6072832345962524,0.23618556559085846,0.3623145520687103,0.5795963406562805
Croatia,2021,102.7591917,1630.56,-0.0001479367078413676,0.0031772695201655143,59.69373,-0.5517471572886099,0.03753645718097687,0.5523746013641357,0.6215956807136536,0.2754189372062683,0.49354657530784607,0.6014959216117859
Croatia,2022,111.2911883,1665.86,0.00023527390505762968,0.004264954682271049,84.66344000000001,-0.5203998289210661,0.14780740439891815,0.5813136100769043,0.6725632548332214,0.3677971065044403,0.5025498867034912,0.6162912249565125
Croatia,2023,121.2407316,1703.04,0.0001501438079706074,0.00407952463477229,84.05893,-0.481038330108711,0.18192867934703827,0.7126536965370178,0.5977120399475098,0.3606055676937103,0.6439002752304077,0.5697450637817383
Greece,2002,92.6318028,4440.87,0.0005477583828110083,0.002431913314756754,79.5359,-0.2685691746732385,0.40318062901496887,0.7760456800460815,0.8725918531417847,0.7238452434539795,0.9460320472717285,1.048019289970398
Greece,2003,94.6255157,4491.12,0.0001273456640801304,0.0016681636346482227,83.3821,-0.21888648964566382,0.3633240759372711,0.7038463354110718,0.4776363670825958,0.7897099852561951,0.9872527122497559,1.1566739082336426
Greece,2004,96.0499734,4606.83,0.0007680736902366413,0.0017672768684336229,94.12270000000001,-0.1886985623015972,0.4501904249191284,0.7859559059143066,0.4893362522125244,0.8991342186927795,0.8362244963645935,1.1914149522781372
Greece,2005,95.9856153,4652.09,4.070905642084863e-05,0.0012056064843919327,98.0792,-0.19810426283019777,0.35138365626335144,0.7097485065460205,0.5065241456031799,0.784953773021698,0.9586502313613892,1.0975693464279175
Greece,2006,100.2208651,4742.95,0.0001768975300343217,0.0008013722063820943,109.51689999999999,-0.16629137851939824,0.35753244161605835,0.6292315721511841,0.6304327845573425,0.863401472568512,0.8577423095703125,0.965482771396637
Greece,2007,101.6881134,4806.73,1.549802108175965e-05,0.002905056500099637,125.0181,-0.15911313062797494,0.2619307041168213,0.5518289804458618,0.523507833480835,0.8592877388000488,0.8943833708763123,0.9838739037513733
Greece,2008,104.1642344,4867.13,7.568498230389253e-05,0.0021705025182225625,136.3306,-0.151310799475444,0.12667496502399445,0.5779693722724915,0.26785415410995483,0.8536030054092407,0.8810617923736572,0.928211510181427
Greece,2009,103.4807835,4836.0,0.00016935947738113262,7.12676295573715e-05,108.674,-0.1292654921386749,0.0628989040851593,0.6151965856552124,-0.2081242948770523,0.6468443274497986,0.8349214792251587,0.8914432525634766
Greece,2010,104.4488961,4706.44,0.00022254895289785585,-0.0007192232497514298,113.8579,-0.19886447861493173,-0.06251166760921478,0.49291279911994934,-0.12720687687397003,0.5838956832885742,0.6428214907646179,0.8977180123329163
Greece,2011,104.8224746,4505.14,0.0006583346145328453,-0.0010409627675009227,114.5421,-0.2920050710914942,-0.10117093473672867,0.4519537091255188,-0.09869518876075745,0.5333271622657776,0.4923437833786011,0.820455014705658
Greece,2012,104.4992005,4325.83,9.569427442980699e-05,8.073527684854785e-05,115.9904,-0.3521538290400965,-0.19037801027297974,0.27644893527030945,-0.21724869310855865,0.3882315754890442,0.5219926834106445,0.700790524482727
Greece,2013,103.7788585,4300.67,-3.6100766346311235e-05,0.00022970430757745126,112.1312,-0.38114387165351626,-0.07544304430484772,0.3571734130382538,-0.17134171724319458,0.46731653809547424,0.6282175779342651,0.6872137188911438
Greece,2014,102.181499,4453.73,0.0001643769387110601,-0.0006221717742450254,116.9709,-0.3976227146754533,-0.13609817624092102,0.2980273365974426,-0.14044596254825592,0.37398678064346313,0.32616448402404785,0.618707537651062
Greece,2015,100.928222,4322.57,0.0002197075432423042,-0.0011122864961273468,114.4626,-0.4164495957331429,-0.1191394031047821,0.14593584835529327,-0.23555973172187805,0.25249212980270386,0.3918904662132263,0.6515855193138123
Greece,2016,99.7062329,4469.51,0.00012656986351060155,-0.0015509289626067706,111.0497,-0.431203436542994,-0.13452722132205963,0.12441731989383698,-0.12970364093780518,0.11239416897296906,0.13528887927532196,0.6688963770866394
Greece,2017,99.8030299,4446.63,5.043560620658952e-05,0.00012165354435545941,125.7305,-0.44284803650493854,-0.112043097615242,0.23915545642375946,-0.08124404400587082,0.05026661232113838,0.22380830347537994,0.6587479114532471
Greece,2018,100.1406759,4650.34,-3.0655668075849515e-05,0.003473436928215311,143.1165,-0.4497316711726028,-0.0562080480158329,0.25846466422080994,0.15397906303405762,0.11301732063293457,0.402087926864624,0.7417658567428589
Greece,2019,100.2332827,4751.96,0.00026002179908953666,-0.0001579595277336264,149.23770000000002,-0.453932217665292,0.01369822770357132,0.31429579854011536,0.1624283343553543,0.1580726057291031,0.5173258185386658,0.8106838464736938
Greece,2020,100.0,4629.79,0.0003329585801329241,-0.004336385877749915,117.7699,-0.48560579434033535,0.03195083886384964,0.40293699502944946,0.11518152803182602,0.28897303342819214,0.5364976525306702,0.9629446864128113
Greece,2021,101.5319728,4865.56,-0.00031774063015375725,7.592325397152403e-05,162.449,-0.47720541631869595,0.18301144242286682,0.40602654218673706,0.1013832688331604,0.3211655914783478,0.42690369486808777,0.945290207862854
Greece,2022,106.4056492,4983.64,-2.420274438917388e-05,0.002408126145039974,223.8158,-0.4539847412931355,0.037597861140966415,0.4469676613807678,0.10646377503871918,0.32513487339019775,0.4643789827823639,0.9568817019462585
Greece,2023,109.8552105,5044.04,-0.000140474775040577,0.003015568468852884,207.5331,-0.44044530713937124,0.09784692525863647,0.14800302684307098,0.23974406719207764,0.21315857768058777,0.5789353251457214,1.01216721534729
Montenegro,2011,104.9588989,193.25,9.1920730083442e-05,0.0015343100119638454,3.48218,-0.7965574228468824,-0.222925066947937,0.07665445655584335,0.5653415322303772,-0.05886179208755493,0.00010075636237161234,0.2078905701637268
Montenegro,2012,106.1140193,196.875,0.00015231765969484098,-0.0008606688976985325,3.55581,-0.8026771352282005,-0.129764124751091,0.1205141544342041,0.5965630412101746,-0.058480583131313324,0.03441467508673668,0.21790596842765808
Montenegro,2013,103.4533118,199.7,-0.0001252835749860276,0.00042829261361823065,3.45565,-0.7937792644688868,-0.287302702665329,0.15382538735866547,0.5045954585075378,-0.0343756228685379,0.09356749802827835,0.17824821174144745
Montenegro,2014,102.8631697,212.925,0.0002178253789018472,-0.0006276820237095654,3.4623399999999998,-0.7927669322048488,-0.07553087174892426,0.2933211922645569,0.2194552719593048,0.01400056853890419,0.17506426572799683,0.16027480363845825
Montenegro,2015,102.9540592,217.0,0.00022546787687209422,0.0005711211542210476,3.7527799999999996,-0.7884892511178823,-0.12352096289396286,0.16653834283351898,0.13663820922374725,-0.04567858949303627,0.22632677853107452,0.14403991401195526
Montenegro,2016,98.8533544,219.35,7.987088176055419e-07,0.0005475158173983176,4.09945,-0.7767427610118491,-0.08208011835813522,0.135110005736351,0.2687162160873413,-0.13513393700122833,0.234211266040802,0.07616093009710312
Montenegro,2017,98.4899949,223.95,4.490759703316292e-05,0.0007500054598719228,4.5379,-0.766656070739804,-0.0849762111902237,0.17134128510951996,-0.0625774934887886,-0.111639104783535,0.32353001832962036,0.12429769337177277
Montenegro,2019,102.0735964,237.25,-6.560979394016158e-05,0.000333221045164712,5.38858,-0.748367345906414,-0.030203431844711304,0.1064344048500061,0.05806864798069,-0.007428884040564299,0.394997239112854,0.024137461557984352
Montenegro,2020,100.0,213.3,0.0001276456102917985,-0.0008058363854937055,3.64169,-0.778714668155764,-0.04373718053102493,-0.1066659465432167,-0.06119713932275772,-0.04058893397450447,0.42420873045921326,0.04149099439382553
Montenegro,2021,107.1944064,208.1,8.640218473359487e-05,0.0029308136579171105,5.204359999999999,-0.7588246941649711,-0.04408968985080719,-0.030478890985250473,-0.052444636821746826,-0.08406403660774231,0.42074745893478394,0.1685619056224823
Montenegro,2022,124.4812747,244.0,-0.0003602286808938896,0.0011004803609715405,7.458259999999999,-0.7332549823682538,-0.11874867230653763,-0.027476675808429718,-0.1408814787864685,-0.12611691653728485,0.543230414390564,0.2752418518066406
Montenegro,2023,124.8933827,269.6,0.00011988184546032282,0.0007649965078472813,8.25486,-0.7057149986082841,-0.0793098732829094,0.24706311523914337,0.06930229067802429,-0.04215646907687187,0.3742011487483978,0.34200629591941833
North Macedonia,2003,80.2544052,599.28,6.9994129336666e-05,0.00040443887805365894,3.1170299999999997,-0.8803019516241961,-0.651164174079895,-0.40902552008628845,-0.9881947040557861,-0.5067722201347351,-0.1732306033372879,-0.02186485193669796
North Macedonia,2007,103.9875832,632.9,0.0002576842929710329,0.00024541241767445354,6.46583,-0.8636720764920376,-0.3943568468093872,-0.23662066459655762,-0.4265252649784088,-0.4213032126426697,0.04244786500930786,0.27667859196662903
North Macedonia,2008,111.3596141,682.96,-8.890742100973556e-05,0.0007391700104305587,7.55564,-0.8530124562377672,-0.21142135560512543,-0.08983824402093887,-0.29572057723999023,-0.32037752866744995,0.11942592263221741,0.1957399696111679
North Macedonia,2009,103.3033272,713.08,0.00021760685326465914,-0.00046834586780120026,5.89885,-0.8463605618781662,-0.1468069851398468,-0.13052023947238922,-0.2985558807849884,-0.2918931543827057,0.194719597697258,0.16812986135482788
North Macedonia,2010,106.1898217,687.38,3.861368447618407e-05,0.0005064046031225644,6.95767,-0.8445005953358188,-0.09297682344913483,-0.18122641742229462,-0.5185170769691467,-0.3022083342075348,0.2375655323266983,0.11498143523931503
North Macedonia,2011,101.4941596,697.09,-9.718073164754745e-05,0.00021438125612206104,8.539390000000001,-0.840245934799921,-0.10699371248483658,-0.22115808725357056,-0.6179637908935547,-0.26950889825820923,0.21558402478694916,-0.03949185833334923
North Macedonia,2012,95.208791,705.38,0.00010802150075425423,-0.00020493122949877452,8.51126,-0.8401986758280693,-0.0511750727891922,-0.2101883590221405,-0.49264952540397644,-0.2515701949596405,0.264106422662735,-0.02849610522389412
North Macedonia,2013,100.315801,744.84,-0.00013570282125019087,0.0002927617609835188,8.5454,-0.8302959878389344,-0.05652274191379547,-0.1685284823179245,-0.4160763919353485,-0.23094788193702698,0.24731989204883575,-0.05758129060268402
North Macedonia,2014,100.0734441,762.51,2.0971971728117398e-05,0.00030132164919834396,9.63556,-0.8258974071364769,-0.03275403752923012,0.015496580861508846,0.25638294219970703,-0.05581830069422722,0.42168617248535156,-0.14155907928943634
North Macedonia,2015,97.729297,776.75,2.6316518562646562e-05,0.00037144076675510625,10.31508,-0.8219796293002191,-0.26603227853775024,-0.030274633318185806,-0.29259273409843445,-0.2378467470407486,0.3598945438861847,-0.18184754252433777
